구분,지원자 ID,지원경로,포지션,지원일자,코딩테스트,코딩테스트_점수,코딩테스트_결과,서류전형,면접전형,면접전형_결과,입사일자,불합격 사유,,,,**업데이트 일자:,2026.05.19
개발,7569898,잡코리아,FE,2026. 5. 14,X,,,,,,,서류_병특아님,,,,,
개발,7571324,원티드,FE,2026. 5. 14,X,,,,,,,서류_병특아님,,,,,
개발,7592671,원티드,FE,2026. 5. 18,X,,,,,,,서류_병특아님,,,,,
개발,7592678,원티드,FE,2026. 5. 18,X,,,,,,,서류_병특아님,,,,,
개발,7592680,원티드,FE,2026. 5. 18,X,,,,,,,서류_병특아님,,,,,
개발,7592683,원티드,FE,2026. 5. 18,X,,,,,,,서류_병특아님,,,,,
개발,7597088,사람인,FE,2026. 5. 18,X,,,,,,,서류_병특아님,,,,,
개발,7600030,잡코리아,FE,2026. 5. 19,X,,,,,,,서류_병특아님,,,,,
개발,7628897,사람인,FE,2026. 5. 19,X,,,,,,,서류_병특아님,,,,,
개발,7661108,원티드,FE,2026. 5. 26,X,,,,,,,서류_설문 미응답,,,,,
